,Business License,Business Name,Inspection Score,Violation Date,Violation,Inspector Comments,Address,City,State,Zip Code,Location
436,09FOOD-0117,Bennison's Bakery,80.0,12/31/2018,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The majority of food contact surfaces throughout the establishment are soiled. Clean and sanitize all food contact surfaces as needed.The can opener is soiled. Routinely clean the can opener.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
28,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Observed raw eggs stored on top of ready to eat fresh apples in the walkin.Store raw eggs below ready to eat foods.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
30,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,(1) FOOD:  Source: wholesome; no spoilage,CRITICAL VIOLATION.Found a plastic container storing a bag of  either egg whites or other yellow watery product which could not be identified that was visibly unnoticed and left to rot.Container emptied.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
31,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Observed several areas of the floors that have hardened dry food products on them. Floors must be free of food residue buildup and thoroughly cleaned every day.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
32,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(37) FLOORS, WALLS AND CEILINGS: Walls, ceilings, equipment attached: constructed, good repair, clean surfaces; dustless cleaning methods.",1.Observed heavy amounts of food residue on walls in all areas. Where you can see or feel food residue please remove it in a timely manner.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
33,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",1.The entire press wood white cabinet and shelving is severely deteriorated and heavily soiled. It will be necessary by the next routine inspection to replace the entire press wood cabinet to include the coffee maker cabinet and shelving with an NSF shelving and cabinet. The us of presswood and bare wood as shelving units is prohibited.2. Replace the homemade  bare wood table storing the slicers and mixers by the walkin unit with NSF prep tables.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
34,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",I did not see one sanitizing bucket in this establishment or any indication work surfaces are being sanitized. Use sanitizing buckets to clean food prep areas intermittent during the work day and night,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
35,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",1.Observed several deteriorated food prep surfaces such as deteriorated Formica tops. When food contact surfaces are deteriorating and cannot be repaired such as Formica it is necessary to replace those materials with NSF equipment2. Do not use bare wood as shelving inside the 2 door refrigerator in he decorating room. Use only NSF Shelving,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
36,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.",1.Observed 2 unused perhaps broken ice machines. Remove broken unused equipment from the establishment.2 observed an used under counter refrigerator downstairs.Discard unused equipment.3. Discard unnecessary dusty dirty food equipment and items under the basement stairs.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
37,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(29) PLUMBING: Installed, maintained",Illinois plumbing code requires hot water to be dispensed on the left and cold water on the right. The men's room has hot water coming when the right faucet is turned on. Please correct.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
38,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,CRITICAL VIOLATION.Please provide the name of a person Certified as n food service sanitation in addition to providing the Illinois Food Handler certificates for employees,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
39,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION.1. I was told by the employees that they wash dishes in the 3 compartment sink in front as well as wash hands. Please install a separate handsink in the front Service area.2. In the middle prep area..A  handsink shall never be used to store cups or sponges but is used for handwashing only. Employees should be encouraged to wash hands frequently and this cannot be done if the sink is being used as equipment storage.In addition the hand drying device is not working. Provide a paper towel dispenser or repair the hand drying device to prevent employees from using their aprons or clothes to dry hands.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
42,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION.Found rodent dropping inside unused dusty metal cake pans downstairs. Pest control cannot effectively be done when equipment and boxes are strewn in disarray or never moved and used. Eliminate rodent harborage in the basement2 observed rodent droppings on metal bait catch all boxes behind bags of donut mix.Your pest control company is not checked no the bait boxes.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
43,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION.The front sliding door refrigerator is operating above the maximum temp of 41 F by storing milk at 53.2 F. Discard the milk products and do not use this unit to store potentially hazardous foods until it can be repaired.This unit was not working correcting at my previous routine inspection in a June 2017.Please be advised |  repair this unit to maintain product temp throughout the day at 41 F maximum or replace the unit entirely,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
44,09FOOD-0117,Bennison's Bakery,80.0,01/11/2018,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Never store clean food equipment directly on the floor to the left of the computers. All clean food equipment shall be stored 6 inches off the floor on NSF shelving. Milk crates are not considered shelving as shelving must provide 6 inches of floor clearance or it must be sealed to the floor or on wheels.Shelving must always be smooth easily cleanable and non absorbent. Plywood shelving is prohibited.,1000 DAVIS ST,Evanston,IL,60201,"1000 DAVIS ST
Evanston, IL 60201
(42.047053, -87.685091)"
